Player_Name,Club,Season,Goals,Assists
N'Golo Kant�,Chelsea FC,2017,1,1
Jes�,Stoke City,2017,1,1
Elias Kachunga,Huddersfield Town,2017,1,1
Jordan Henderson,Liverpool FC,2017,1,1
Lewis Dunk,Brighton & Hove Albion,2017,1,1
J�rgen Locadia,Brighton & Hove Albion,2017,1,1
Federico Fern�ndez,Swansea City,2017,1,1
Nemanja Matic,Manchester United,2017,1,1
Steven Defour,Burnley FC,2017,1,1
Leroy Fer,Swansea City,2017,1,1
Darren Fletcher,Stoke City,2017,1,1
Yaya Tour�,Manchester City,2017,,2
Ben Chilwell,Leicester City,2017,,2
Oliver Burke,West Bromwich Albion,2017,,2
Ander Herrera,Manchester United,2017,,2
Eric Dier,Tottenham Hotspur,2017,,2
Kyle Naughton,Swansea City,2017,,2
Florian Lejeune,Newcastle United,2017,,2
Cuco Martina,Everton FC,2017,,2
Aaron Lennon,Burnley FC,2017,,2
Grzegorz Krychowiak,West Bromwich Albion,2017,,2
DeAndre Yedlin,Newcastle United,2017,,2
Kyle Walker-Peters,Tottenham Hotspur,2017,,2
Joe Gomez,Liverpool FC,2017,,2
Mathias J�rgensen,Huddersfield Town,2017,,2
Lewis Cook,AFC Bournemouth,2017,,2
Nacer Chadli,West Bromwich Albion,2017,1,
Joe Lolley,Huddersfield Town,2017,1,
Joel Matip,Liverpool FC,2017,1,
Mike van der Hoorn,Swansea City,2017,1,
Fernando Llorente,Tottenham Hotspur,2017,1,
Ragnar Klavan,Liverpool FC,2017,1,
Danny Ings,Liverpool FC,2017,1,
Molla Wagu�,Watford FC,2017,1,
James McClean,West Bromwich Albion,2017,1,
Per Mertesacker,Arsenal FC,2017,1,
Oriol Romeu,Southampton FC,2017,1,
Henri Saivet,Newcastle United,2017,1,
Angelo Ogbonna,West Ham United,2017,1,
Luciano Narsingh,Swansea City,2017,1,
Aleksandar Mitrovic,Newcastle United,2017,1,
James Morrison,West Bromwich Albion,2017,1,
Isaac Hayden,Newcastle United,2017,1,
Victor Wanyama,Tottenham Hotspur,2017,1,
�tienne Capoue,Watford FC,2017,1,
Leonardo Ulloa,Brighton & Hove Albion,2017,1,
Miguel Britos,Watford FC,2017,1,
Yannick Bolasie,Everton FC,2017,1,
Eric Bailly,Manchester United,2017,1,
Jan Bednarek,Southampton FC,2017,1,
James Collins,West Ham United,2017,1,
Kurt Zouma,Stoke City,2017,1,
Gerard Deulofeu,Watford FC,2017,1,
Ashley Williams,Everton FC,2017,1,
Sam Field,West Bromwich Albion,2017,1,
Danny Drinkwater,Chelsea FC,2017,1,
Scott Dann,Crystal Palace,2017,1,
David Luiz,Chelsea FC,2017,1,
Harry Arter,AFC Bournemouth,2017,1,
Guido Carrillo,Southampton FC,2017,,1
Kieran Gibbs,West Bromwich Albion,2017,,1
Christian Fuchs,Leicester City,2017,,1
Simon Francis,AFC Bournemouth,2017,,1
Phil Foden,Manchester City,2017,,1
Florent Hadergjonaj,Huddersfield Town,2017,,1
Joe Hart,West Ham United,2017,,1
Michael Keane,Everton FC,2017,,1
Jos� Fonte,West Ham United,2017,,1
Wesley Hoedt,Southampton FC,2017,,1
Edimilson Fernandes,West Ham United,2017,,1
Emerson,Chelsea FC,2017,,1
Yohan Cabaye,Crystal Palace,2017,,1
Saido Berahino,Stoke City,2017,,1
Adrien Silva,Leicester City,2017,,1
Hamza Choudhury,Leicester City,2017,,1
S�amus Coleman,Everton FC,2017,,1
Mohamed Elneny,Arsenal FC,2017,,1
Shane Duffy,Brighton & Hove Albion,2017,,1
Fouss�ni Diabat�,Leicester City,2017,,1
Jonjoe Kenny,Everton FC,2017,,1
Jonas L�ssl,Huddersfield Town,2017,,1
Tom Smith,Huddersfield Town,2017,,1
Jeffrey Schlupp,Crystal Palace,2017,,1
Christopher Schindler,Huddersfield Town,2017,,1
Abdelhamid Sabiri,Huddersfield Town,2017,,1
Lasse S�rensen,Stoke City,2017,,1
Joel Ward,Crystal Palace,2017,,1
Pablo Zabaleta,West Ham United,2017,,1
Harry Winks,Tottenham Hotspur,2017,,1
Ashley Westwood,Burnley FC,2017,,1
Danny Rose,Tottenham Hotspur,2017,,1
Erik Pieters,Stoke City,2017,,1
Oliver McBurnie,Swansea City,2017,,1
Manquillo,Newcastle United,2017,,1
Scott Malone,Huddersfield Town,2017,,1
Benjamin Mendy,Manchester City,2017,,1
Charly Musonda,Chelsea FC,2017,,1
J�r�my Pied,Southampton FC,2017,,1
Martin Olsson,Swansea City,2017,,1
Allan Nyom,West Bromwich Albion,2017,,1
Marvin Zeegelaar,Watford FC,2017,,1
Player,,,,
